deck_row_id,deck_id,oracle_semantic_identity,terminal_classification_identity,classification_status,terminal_requirement_ids
buckle_up:line-4,Buckle Up,0659a5b0-9807-4e4c-8af3-b6e233051ad6,4af030fdfc6cbc10d00a8e222bb6a5038fa9006a0ea5e4cc872388edec2a9961,REVIEWED_CONFIRMED,"[""cap.vehicle"",""cap.dynamic_crew_value"",""cap.combat_granted_keywords""]"
buckle_up:line-5,Buckle Up,e2962883-6daf-4a84-af73-917afc73092c,4f09df2f6994d14889da6d2a2932f0b680d259f4d1696a6146f5875b6ef04b18,REVIEWED_CONFIRMED,"[""cap.vehicle"",""cap.pilot_token"",""cap.draw_discard"",""cap.commander_noncreature""]"
buckle_up:line-6,Buckle Up,2274c7ae-5a40-4fd4-a4ac-6f56b23034e4,b213e13d3675fd34053a25d87ae8451e4606a7f5649bd90993992bf0ff5c1356,REVIEWED_CONFIRMED,"[""cap.loyalty"",""cap.planeswalker"",""cap.continuous_combat_modification""]"
buckle_up:line-7,Buckle Up,03dee43b-6377-4f7b-956b-a384160322e4,6d66882b9c67db534ba7ed9fc1fecf55279df75f140083a8b91bfb16881ed628,REVIEWED_CORRECTED,"[""cap.mass_untap""]"
buckle_up:line-8,Buckle Up,a613b00e-d6e8-4470-a7dc-5eab5e48dce0,b51e50540b3785b5159a9368a06cbb94a34028a43463aa30f4f018be86831e54,REVIEWED_CORRECTED,"[""cap.target"",""cap.trigger"",""cap.graveyard"",""cap.reanimation"",""cap.attack_trigger"",""cap.artifact_permanent""]"
buckle_up:line-9,Buckle Up,126a5d0b-e7d6-458e-87af-47d845678014,cb81816baf6fb75b058708762c147d3ca587b4067fd4ad31e273db07dcb57d80,REVIEWED_CONFIRMED,"[""cap.base_pt"",""cap.flying_grant"",""cap.mass_type_change"",""cap.continuous_layers""]"
buckle_up:line-10,Buckle Up,7fffbe7f-ad78-4bb6-a611-c37e495c6ee0,8a195ac9bc9a8ddf2466203f30ecc41d6d87b6488df9358a28aa4549383efe89,REVIEWED_CORRECTED,"[""cap.trigger"",""cap.counters"",""cap.improvise"",""cap.artifact_permanent""]"
buckle_up:line-11,Buckle Up,80ba76a6-cc48-4820-bc0b-c9ec18088a3b,2366363b295aa559cc553097c2b5970e6d83d246e0440a9520dc7276a3bc92a3,REVIEWED_CONFIRMED,"[""cap.target"",""cap.base_pt"",""cap.type_change"",""cap.artifact_animation""]"
buckle_up:line-12,Buckle Up,ba5055ce-6809-47a4-bee6-fb97a5b60f8a,fed613d0da496ac7f8b1a37d50152c3a13a9ccd986773c6dc0a9179dbfdbddcc,REVIEWED_CORRECTED,"[""cap.draw"",""cap.flash"",""cap.damage"",""cap.trigger"",""cap.artifact_permanent"",""cap.combat_damage_trigger""]"
buckle_up:line-13,Buckle Up,dcde1a62-33a5-4454-a389-9bf7a3521a4c,9ca7e65e830a468efe522eed29f7a18dd60b316996fc665f9c34842cdf2dd8ae,REVIEWED_CORRECTED,"[""cap.flying_grant""]"
buckle_up:line-14,Buckle Up,2e4865c5-a590-4820-81ec-926014ddb8c4,e1b274adc7285616f61dd69fdd08dafcf0e381f5d94f37adba0f85d56fecb7d4,REVIEWED_CONFIRMED,"[""cap.mass_sacrifice"",""cap.simultaneous_choice"",""cap.multi_category_selection""]"
buckle_up:line-15,Buckle Up,0f9269eb-6a6c-4b32-8b3d-73724c12ca6b,1b729ea07bc789aa12af7936d8a6ff5e882f0bf85134fae62189b2288af0f742,REVIEWED_CORRECTED,"[""cap.target""]"
